round,distributed_loss,distributed_fit_metrics
1,0.32371829641414757,{}
2,0.32371829641414757,{}
3,0.32371829641414757,{}
4,0.32371829641414757,{}
5,0.32371829641414757,{}
6,0.32371829641414757,{}
7,0.32371829641414757,{}
8,0.32371829641414757,{}
9,0.32371829641414757,{}
10,0.32371829641414757,{}
