V024,district_code,stunting_prev,underweight_prev,wasting_prev,mean_haz,mean_waz,mean_whz,n_children,is_aspirational
1,1,0.2322,0.2508,0.2167,-0.22556666666666667,-0.8562012987012987,-0.7534657039711191,323,0
1,2,0.2448,0.2028,0.1678,-0.4516479400749064,-0.6528102189781022,-0.38594377510040156,286,0
1,5,0.2442,0.1818,0.1481,-0.8067590027700832,-0.8569945355191257,-0.5358333333333334,385,0
1,6,0.2848,0.3065,0.2012,-1.011437908496732,-1.2642857142857142,-0.8503654485049834,323,0
1,7,0.1703,0.2198,0.1484,0.0021985815602837007,-0.3506962025316456,0.17216,182,0
1,8,0.2052,0.1618,0.1618,-0.36405144694533764,-0.719811320754717,-0.589635761589404,346,0
1,9,0.2189,0.1481,0.1145,-0.895,-0.7474999999999999,-0.24588477366255143,297,0
1,10,0.2954,0.1519,0.1646,-0.8983333333333333,-0.6250434782608695,-0.2726923076923077,237,0
1,11,0.1734,0.1965,0.2225,-0.5822929936305733,-0.8126605504587157,-0.525631067961165,346,0
1,12,0.1977,0.186,0.1202,-0.21334782608695652,-0.616694560669456,-0.02975369458128079,258,0
1,13,0.2116,0.3278,0.2863,-0.42869565217391303,-1.435397489539749,-1.179009433962264,241,0
1,14,0.252,0.268,0.212,-0.5248917748917749,-1.0375210084033615,-0.854375,250,0
1,15,0.2465,0.1424,0.0972,-0.6186799999999999,-0.2958518518518518,0.29008032128514055,288,0
1,16,0.297,0.1419,0.0858,-1.0568592057761732,-0.3901060070671378,0.2793703703703703,303,0
1,17,0.2312,0.1962,0.1371,-0.8163128491620112,-0.9704383561643835,-0.5391569767441861,372,0
1,18,0.25,0.1639,0.1967,-0.5034801762114538,-0.523862660944206,-0.16562499999999997,244,0
1,19,0.325,0.3107,0.1893,-1.3075806451612901,-1.3621969696969698,-0.70756,280,0
1,20,0.1639,0.1139,0.1167,-0.3115976331360947,-0.10521489971346705,0.21123123123123125,360,0
1,21,0.2552,0.1674,0.1548,-0.68125,-0.8194666666666667,-0.38666666666666666,239,0
1,22,0.2357,0.1414,0.1582,-0.42877862595419847,-0.5336131386861314,-0.2112109375,297,0
2,23,0.3732,0.2428,0.1377,-1.492107438016529,-1.178740157480315,-0.248298755186722,276,0
2,24,0.2381,0.2762,0.1714,-1.1135294117647059,-1.4420744680851065,-1.050949720670391,210,0
2,25,0.2431,0.1606,0.133,-0.7833689839572193,-0.9415625,-0.4397282608695652,218,0
2,26,0.3458,0.2477,0.1402,-1.6145408163265305,-1.17895,-0.29801020408163265,214,0
2,27,0.3133,0.2146,0.1803,-1.1556164383561645,-1.0701351351351351,-0.53,233,0
2,28,0.2469,0.216,0.1296,-1.2358783783783784,-1.3377124183006535,-0.8927210884353741,162,0
2,29,0.2198,0.2284,0.1164,-0.9459069767441861,-1.1361214953271028,-0.773921568627451,232,0
2,30,0.3862,0.3651,0.1111,-1.6167045454545457,-1.3856741573033708,-0.6189714285714285,189,0
2,31,0.2876,0.2275,0.1545,-1.2195544554455444,-1.3104326923076923,-0.6251530612244898,233,0
2,32,0.2791,0.227,0.1656,-1.100912052117264,-1.0813461538461537,-0.6787290969899665,326,0
2,33,0.269,0.1111,0.1345,-1.0869135802469136,-0.7348148148148148,-0.26393750000000005,171,0
2,34,0.2982,0.1754,0.0994,-1.215,-0.8775949367088607,-0.29980891719745223,171,0
3,36,0.22,0.172,0.112,-0.8875336322869956,-0.9073127753303966,-0.46926605504587154,250,0
3,37,0.2,0.1378,0.0844,-1.0856353591160222,-0.9080978260869565,-0.35204419889502764,225,0
3,38,0.1852,0.125,0.1111,-0.7094527363184079,-0.6525603864734301,-0.37457711442786074,216,0
3,39,0.1673,0.1102,0.1102,-0.5513478260869565,-0.5170338983050847,-0.18048034934497817,245,0
3,40,0.2783,0.1652,0.0652,-1.4827586206896552,-0.9239805825242718,-0.08625615763546798,230,0
3,41,0.1853,0.1034,0.0474,-0.9969270833333334,-0.64875,-0.09042105263157894,232,0
3,42,0.2,0.1529,0.1059,-0.8364444444444445,-0.8133478260869564,-0.4249777777777778,255,0
3,44,0.2996,0.2708,0.1191,-1.3449159663865544,-1.3220987654320986,-0.7444769874476987,277,0
3,45,0.2465,0.1831,0.0915,-1.215921568627451,-1.093088803088803,-0.4666274509803922,284,0
3,46,0.1913,0.1913,0.1261,-1.1565671641791044,-1.2618,-0.8459701492537313,230,0
3,47,0.3144,0.204,0.1104,-1.486,-1.184074074074074,-0.4936567164179105,299,0
3,48,0.1708,0.1542,0.0792,-0.9375490196078431,-1.031116504854369,-0.6345320197044335,240,0
3,49,0.1705,0.0969,0.0969,-0.7894117647058824,-0.5684444444444444,-0.20312217194570137,258,0
3,50,0.2164,0.1311,0.0951,-1.013421052631579,-0.8011524163568773,-0.24966037735849056,305,0
3,51,0.1402,0.1355,0.0841,-0.7126424870466321,-0.8306091370558375,-0.5734871794871795,214,0
3,52,0.2066,0.1818,0.0785,-1.2406091370558376,-1.0578680203045685,-0.5181443298969072,242,0
3,53,0.1882,0.149,0.0824,-1.045263157894737,-0.9925806451612904,-0.4919607843137255,255,0
3,54,0.2924,0.1398,0.072,-1.3948803827751197,-0.7603381642512078,-0.011853658536585364,236,0
3,879,0.3127,0.1787,0.0825,-1.4130232558139535,-1.1735658914728682,-0.46730468750000004,291,0
3,880,0.262,0.2077,0.1214,-1.216042402826855,-1.088206896551724,-0.47326388888888893,313,0
3,881,0.1905,0.1172,0.0733,-0.8016203703703704,-0.7183783783783784,-0.2924056603773585,273,0
3,882,0.1951,0.1016,0.0894,-0.6815668202764977,-0.4394090909090909,-0.08168224299065421,246,0
4,55,0.2184,0.1897,0.0862,-1.086474358974359,-1.0680769230769231,-0.6653548387096774,174,0
5,56,0.3094,0.2125,0.0875,-1.434175824175824,-1.2112056737588652,-0.5130797101449276,320,0
5,57,0.2971,0.1993,0.1377,-1.2860330578512398,-1.0881632653061226,-0.2884255319148936,276,0
5,58,0.2414,0.1129,0.0752,-1.0144781144781145,-0.8182274247491639,-0.3594256756756757,319,0
5,59,0.2708,0.1944,0.1181,-1.152781954887218,-1.0400738007380075,-0.42155893536121675,288,0
5,60,0.1633,0.1434,0.0677,-0.735191256830601,-0.7956451612903226,-0.40427777777777774,251,0
5,61,0.2751,0.164,0.1058,-1.186264367816092,-0.9649714285714286,-0.2860115606936416,189,0
5,62,0.2385,0.1885,0.1115,-1.1265,-1.0538333333333332,-0.36793991416309013,260,0
5,63,0.2135,0.1086,0.0712,-0.9379183673469388,-0.8605691056910568,-0.4025714285714286,267,0
5,64,0.2385,0.2064,0.1468,-1.0443842364532019,-1.1060098522167487,-0.6129292929292929,218,0
5,65,0.2219,0.1344,0.1062,-0.845296052631579,-0.7822801302931596,-0.2923154362416107,320,0
5,66,0.2258,0.1437,0.1261,-0.7086708860759494,-0.7667398119122257,-0.4077884615384615,341,0
5,67,0.2216,0.19,0.1082,-1.1036050156739812,-1.1166360856269113,-0.6729938271604938,379,0
5,68,0.2472,0.2051,0.1208,-1.230217391304348,-1.2323214285714286,-0.65309963099631,356,0
6,69,0.1749,0.1639,0.0984,-1.0750675675675676,-1.0363157894736843,-0.6129861111111111,183,0
6,70,0.2045,0.1169,0.0942,-0.869890909090909,-0.7722064056939502,-0.34431159420289853,308,0
6,71,0.2374,0.2077,0.1128,-1.0258389261744967,-1.0305882352941176,-0.5464163822525597,337,0
6,72,0.2011,0.181,0.1006,-1.108527397260274,-1.0619063545150502,-0.4460344827586207,348,0
