model,macro_recall,training,privacy,recall_gap,gap_pct
centralised_mltp,0.9915,All 232K records on one machine,No privacy — all data centralised,0.0,0.0
federated_mltp,0.9912,"5 state nodes, FedAvg, 10 rounds",Data never leaves state boundary,-0.0003,-0.03
