ADM1_NAME,ADM2_NAME,mean
Bihar,Lakhisarai,0.4666370240165551
Bihar,Sheikhpura,0.4749308613591925
Bihar,Sheohar,0.49847888590251277
Bihar,Supaul,0.5111955228991615
Jharkhand,Bokaro,0.5051893830097685
Jharkhand,Chatra,0.5323618604258534
Jharkhand,Garhwa,0.5263946565303427
Jharkhand,Giridih,0.45573576682172395
Jharkhand,Hazaribag,0.5019143710374583
Jharkhand,Koderma,0.5168319280445184
Jharkhand,Pakur,0.5082323159611597
Jharkhand,Sahibganj,0.5124090776832688
Gujarat,Banas Kantha,0.4350485162984891
Gujarat,Mahesana,0.46003485753911405
Gujarat,Patan,0.35871527956464455
Jharkhand,Dumka,0.5054783440281108
Jharkhand,Gumla,0.4911767337973793
Jharkhand,Jamtara,0.4636302906009562
Jharkhand,Latehar,0.5676779297774008
Jharkhand,Palamu,0.5202095214507227
Jharkhand,Pashchim Singhbhum,0.5695100944242907
Jharkhand,Saraikela Kharsawan,0.5087770464252468
Jharkhand,Simdega,0.49575368390165414
West Bengal,West Midnapore,0.5471872169387342
Madhya Pradesh,East Nimar,0.39728488227778547
Madhya Pradesh,Guna,0.44182640016584707
Madhya Pradesh,Shahdol,0.47738919156441767
Madhya Pradesh,Anuppur,0.4712654411208572
Madhya Pradesh,Ashoknagar,0.43655076256005576
Andaman and Nicobar,Andaman Islands,0.7202362721430063
Andaman and Nicobar,Nicobar Islands,0.6466236052941178
Assam,Barpeta,0.4837838654093525
Assam,Cachar,0.6665863678998469
Assam,Darrang,0.5098241960485894
Assam,Dhuburi,0.458823356712384
Assam,Dibrugarh,0.47814316526928785
Assam,Goalpara,0.49587642486444833
Assam,Golaghat,0.5292134244835481
Assam,Kamrup,0.5646811323604877
Assam,Karbi Anglong,0.717277341807587
Assam,Karimganj,0.6343956960270878
Assam,Nagaon,0.5640971379152732
Assam,Nalbari,0.544102599778602
Assam,North Cachar Hills,0.7459859032710406
Assam,Sibsagar,0.5948231705791274
Assam,Sonitpur,0.4933766865219078
Assam,Bongaigaon,0.5699408870906405
Assam,Dhemaji,0.49917223406855593
Assam,Hailakandi,0.6602203367197264
Assam,Jorhat,0.5121588307913393
Assam,Kokrajhar,0.6131700676603389
Assam,Lakhimpur,0.5462071185346334
Assam,Marigaon,0.4788681932684317
Assam,Tinsukia,0.6274602129188075
Delhi,Delhi,0.3625472235679012
Gujarat,Ahmadabad,0.35463348677481255
Gujarat,Amreli,0.4228255112532414
Gujarat,Bhavnagar,0.39826705936037193
Gujarat,Gandhinagar,0.46830496909246244
Gujarat,Jamnagar,0.34759144789334495
Gujarat,Kachchh,0.24464215500499462
Gujarat,Rajkot,0.39052537930343734
Gujarat,Sabar Kantha,0.48600880937787394
Gujarat,Surendranagar,0.37381465030388566
Gujarat,Vadodara,0.47644604025126963
Haryana,Bhiwani,0.41585808202935703
Haryana,Gurgaon,0.41762746788210164
Haryana,Jind,0.5005063470895219
Haryana,Sirsa,0.4738238827862407
Haryana,Faridabad,0.454612635497723
Himachal Pradesh,Bilaspur,0.5977698561764527
Himachal Pradesh,Chamba,0.3930426671947596
Himachal Pradesh,Hamirpur,0.6388029851946238
Himachal Pradesh,Kangra,0.5270216973594708
Himachal Pradesh,Kinnaur,0.12135258685312737
Himachal Pradesh,Kullu,0.36534188866008405
Himachal Pradesh,Lahul and Spiti,0.019764226974499824
Himachal Pradesh,Mandi,0.6375836979181035
Himachal Pradesh,Shimla,0.5599785046383277
Himachal Pradesh,Sirmaur,0.6147281425584968
Himachal Pradesh,Solan,0.6234469060624898
Himachal Pradesh,Una,0.5969160350193093
Manipur,Bishnupur,0.4732973467744943
Manipur,Chandel,0.6995099949585266
Manipur,Churachandpur,0.7501169458300567
Manipur,Senapati,0.6555980508236843
Manipur,Tamenglong,0.7602043082726431
Manipur,Thoubal,0.49802135873383324
